Date,Open,High,Low,Close,Adj Close,Volume
2022-08-25,4850.000000,4870.000000,4800.000000,4840.000000,4526.255371,10177700
2022-08-26,4850.000000,4850.000000,4610.000000,4610.000000,4311.164551,44804400
2022-08-29,4560.000000,4600.000000,4510.000000,4580.000000,4283.109375,20184000
2022-08-30,4590.000000,4630.000000,4580.000000,4580.000000,4283.109375,23733200
2022-08-31,4580.000000,4620.000000,4530.000000,4590.000000,4292.460938,38272000
2022-09-01,4590.000000,4610.000000,4540.000000,4540.000000,4245.702637,13106400
2022-09-02,4540.000000,4600.000000,4540.000000,4550.000000,4255.054688,11307400
2022-09-05,4550.000000,4570.000000,4510.000000,4530.000000,4236.350586,13208600
2022-09-06,4530.000000,4540.000000,4450.000000,4510.000000,4217.646973,23742100
2022-09-07,4510.000000,4590.000000,4490.000000,4590.000000,4292.460938,26881000
2022-09-08,4590.000000,4610.000000,4520.000000,4520.000000,4226.999023,13657900
2022-09-09,4520.000000,4570.000000,4500.000000,4500.000000,4208.295410,10000000
2022-09-12,4510.000000,4560.000000,4510.000000,4550.000000,4255.054688,7679800
2022-09-13,4570.000000,4670.000000,4560.000000,4670.000000,4367.275391,22934000
2022-09-14,4640.000000,4640.000000,4600.000000,4630.000000,4329.868164,10053400
2022-09-15,4640.000000,4660.000000,4580.000000,4600.000000,4301.812988,16878200
2022-09-16,4640.000000,4640.000000,4610.000000,4630.000000,4329.868164,21233900
2022-09-19,4630.000000,4630.000000,4510.000000,4600.000000,4301.812988,9791100
2022-09-20,4630.000000,4730.000000,4620.000000,4730.000000,4423.386230,25974800
2022-09-21,4730.000000,4840.000000,4730.000000,4810.000000,4498.200195,33960700
2022-09-22,4810.000000,4810.000000,4740.000000,4810.000000,4498.200195,14406800
2022-09-23,4810.000000,4820.000000,4770.000000,4810.000000,4498.200195,11888400
2022-09-26,4810.000000,4830.000000,4750.000000,4790.000000,4479.497070,17728200
2022-09-27,4800.000000,4810.000000,4770.000000,4800.000000,4488.848145,10292300
2022-09-28,4800.000000,4840.000000,4780.000000,4810.000000,4498.200195,16851700
2022-09-29,4800.000000,4870.000000,4790.000000,4850.000000,4535.606934,18109500
2022-09-30,4840.000000,4850.000000,4710.000000,4830.000000,4516.903320,23108800
2022-10-03,4830.000000,4870.000000,4820.000000,4850.000000,4535.606934,14748400
2022-10-04,4880.000000,4900.000000,4850.000000,4870.000000,4554.311035,12967400
2022-10-05,4900.000000,4900.000000,4830.000000,4830.000000,4516.903320,13566800
2022-10-06,4860.000000,4900.000000,4840.000000,4900.000000,4582.365723,17339500
2022-10-07,4900.000000,4910.000000,4760.000000,4840.000000,4526.255371,14439400
2022-10-10,4840.000000,4840.000000,4700.000000,4800.000000,4488.848145,8699400
2022-10-11,4780.000000,4780.000000,4730.000000,4730.000000,4423.386230,10775800
2022-10-12,4730.000000,4790.000000,4660.000000,4790.000000,4479.497070,11194200
2022-10-13,4790.000000,4840.000000,4770.000000,4840.000000,4526.255371,12495000
2022-10-14,4840.000000,4860.000000,4770.000000,4810.000000,4498.200195,9611600
2022-10-17,4850.000000,4850.000000,4800.000000,4830.000000,4516.903320,11650600
2022-10-18,4850.000000,4900.000000,4810.000000,4900.000000,4582.365723,18797200
2022-10-19,4930.000000,5375.000000,4930.000000,5350.000000,5003.195801,82474800
2022-10-20,5350.000000,5450.000000,5225.000000,5400.000000,5049.954102,51712800
2022-10-21,5400.000000,5400.000000,5250.000000,5300.000000,4956.437012,18231200
2022-10-24,5275.000000,5475.000000,5250.000000,5325.000000,4979.816406,27349200
2022-10-25,5325.000000,5375.000000,5200.000000,5275.000000,4933.057129,16874900
2022-10-26,5250.000000,5400.000000,5175.000000,5400.000000,5049.954102,28826300
2022-10-27,5400.000000,5450.000000,5275.000000,5350.000000,5003.195801,22168700
2022-10-28,5050.000000,5075.000000,4980.000000,4980.000000,4657.180664,33806300
2022-10-31,4650.000000,4740.000000,4640.000000,4640.000000,4339.220215,83268400
2022-11-01,4590.000000,4690.000000,4500.000000,4530.000000,4236.350586,88422300
2022-11-02,4530.000000,4590.000000,4460.000000,4500.000000,4208.295410,37943000
2022-11-03,4510.000000,4560.000000,4500.000000,4510.000000,4217.646973,15402200
2022-11-04,4530.000000,4550.000000,4470.000000,4540.000000,4245.702637,20812100
2022-11-07,4540.000000,4620.000000,4500.000000,4620.000000,4320.517090,20715100
2022-11-08,4640.000000,4650.000000,4600.000000,4630.000000,4329.868164,15497800
2022-11-09,4630.000000,4630.000000,4520.000000,4540.000000,4245.702637,24941900
2022-11-10,4530.000000,4580.000000,4500.000000,4560.000000,4264.406250,10140300
2022-11-11,4610.000000,4610.000000,4520.000000,4540.000000,4245.702637,16741500
2022-11-14,4540.000000,4600.000000,4530.000000,4590.000000,4292.460938,10527700
2022-11-15,4590.000000,4610.000000,4540.000000,4610.000000,4311.164551,11794000
2022-11-16,4610.000000,4610.000000,4550.000000,4610.000000,4311.164551,8942300
2022-11-17,4600.000000,4610.000000,4560.000000,4590.000000,4292.460938,12105800
2022-11-18,4590.000000,4660.000000,4560.000000,4640.000000,4339.220215,16515900
2022-11-21,4630.000000,4630.000000,4550.000000,4550.000000,4255.054688,13807100
2022-11-22,4570.000000,4620.000000,4560.000000,4560.000000,4264.406250,18963600
2022-11-23,4580.000000,4590.000000,4550.000000,4550.000000,4255.054688,8656200
2022-11-24,4550.000000,4600.000000,4550.000000,4560.000000,4264.406250,5155100
2022-11-25,4570.000000,4600.000000,4530.000000,4600.000000,4301.812988,11209600
2022-11-28,4600.000000,4730.000000,4560.000000,4710.000000,4404.682617,35089100
2022-11-29,4710.000000,4710.000000,4660.000000,4700.000000,4395.331055,21257100
2022-11-30,4660.000000,4800.000000,4620.000000,4800.000000,4555.730469,83228400
2022-12-01,4800.000000,4800.000000,4670.000000,4710.000000,4470.310547,16755100
2022-12-02,4710.000000,4710.000000,4660.000000,4710.000000,4470.310547,6918500
2022-12-05,4710.000000,4800.000000,4700.000000,4740.000000,4498.784180,9788500
2022-12-06,4740.000000,4750.000000,4670.000000,4740.000000,4498.784180,12811800
2022-12-07,4740.000000,4740.000000,4670.000000,4700.000000,4460.819824,19509900
2022-12-08,4670.000000,4690.000000,4560.000000,4660.000000,4422.855469,21123600
2022-12-09,4660.000000,4660.000000,4600.000000,4620.000000,4384.891113,13482300
2022-12-12,4620.000000,4690.000000,4580.000000,4690.000000,4451.328125,12297700
2022-12-13,4700.000000,4720.000000,4630.000000,4720.000000,4479.801758,13797700
2022-12-14,4720.000000,4720.000000,4670.000000,4720.000000,4479.801758,7415600
2022-12-15,4720.000000,4720.000000,4640.000000,4700.000000,4460.819824,11297400
2022-12-16,4690.000000,4870.000000,4660.000000,4870.000000,4622.168457,25213200
2022-12-19,4830.000000,4830.000000,4730.000000,4730.000000,4489.292969,16789200
2022-12-20,4730.000000,4770.000000,4700.000000,4770.000000,4527.257324,5433100
2022-12-21,4770.000000,4790.000000,4740.000000,4780.000000,4536.748535,5871100
2022-12-22,4780.000000,4840.000000,4770.000000,4840.000000,4593.694824,10005000
2022-12-23,4830.000000,4830.000000,4760.000000,4820.000000,4574.712891,5698800
2022-12-26,4820.000000,4820.000000,4740.000000,4750.000000,4508.274902,4053500
2022-12-27,4760.000000,4810.000000,4740.000000,4810.000000,4565.221680,6738300
2022-12-28,4810.000000,4820.000000,4710.000000,4770.000000,4527.257324,7938100
2022-12-29,4740.000000,4760.000000,4700.000000,4760.000000,4517.766113,6825900
2022-12-30,4780.000000,4780.000000,4700.000000,4700.000000,4460.819824,13027100
2023-01-02,4700.000000,4700.000000,4610.000000,4620.000000,4384.891113,4266600
2023-01-03,4600.000000,4650.000000,4570.000000,4600.000000,4365.908203,10663500
2023-01-04,4610.000000,4690.000000,4610.000000,4640.000000,4403.873047,6705200
2023-01-05,4650.000000,4730.000000,4600.000000,4730.000000,4489.292969,12524500
2023-01-06,4720.000000,4760.000000,4670.000000,4760.000000,4517.766113,8390300
2023-01-09,4760.000000,4770.000000,4690.000000,4760.000000,4517.766113,7932200
2023-01-10,4760.000000,4770.000000,4660.000000,4690.000000,4451.328125,13402300
2023-01-11,4680.000000,4700.000000,4640.000000,4700.000000,4460.819824,5806200
2023-01-12,4700.000000,4760.000000,4660.000000,4760.000000,4517.766113,11533000
2023-01-13,4750.000000,4790.000000,4720.000000,4790.000000,4546.239258,7554200
2023-01-16,4790.000000,4800.000000,4750.000000,4770.000000,4527.257324,6778300
2023-01-17,4770.000000,4800.000000,4720.000000,4760.000000,4517.766113,12333700
2023-01-18,4760.000000,4800.000000,4720.000000,4800.000000,4555.730469,5977900
